name,aliases,country,province,lat,lon,Route,URL
Kushog Lake (ICE),Haliburton Highlands (ICE)|EAST ONTARIO: Ottawa to Toronto|Ontario Ice and Mixed|Ontario|North America|International,Canada,Ontario,45.11497,-78.81401,Caramel Coating,https://www.mountainproject.com/route/113225545/caramel-coating
Granary Lake,"CENTRAL ONTARIO; Toronto Region and West of Hwy 11 to Sault Ste Marie; Bracebridge, Sudbury|Ontario Ice and Mixed|Ontario|North America|International",Canada,Ontario,46.28035,-82.84034,Go-Go Beavers,https://www.mountainproject.com/route/114504082/go-go-beavers
Restoule (ICE),"Near North (ICE)|CENTRAL ONTARIO; Toronto Region and West of Hwy 11 to Sault Ste Marie; Bracebridge, Sudbury|Ontario Ice and Mixed|Ontario|North America|International",Canada,Ontario,46.07351,-79.76401,The Snake,https://www.mountainproject.com/route/113259588/the-snake
Bow Lake (ICE),Madawaska Valley (ICE)|EAST ONTARIO: Ottawa to Toronto|Ontario Ice and Mixed|Ontario|North America|International,Canada,Ontario,45.01124,-77.94098,Centre Ramp,https://www.mountainproject.com/route/113204747/centre-ramp
Central Agawa Canyon,"Agawa Canyon|LAKE SUPERIOR E: Sault St. Marie to Marathon, includes Montreal River Harbor and Agawa Canyon|Ontario Ice and Mixed|Ontario|North America|International",Canada,Ontario,47.45551,-84.49016,Huayhuash,https://www.mountainproject.com/route/113396037/huayhuash
Central Agawa Canyon,"Agawa Canyon|LAKE SUPERIOR E: Sault St. Marie to Marathon, includes Montreal River Harbor and Agawa Canyon|Ontario Ice and Mixed|Ontario|North America|International",Canada,Ontario,47.45551,-84.49016,Bridalveil Falls,https://www.mountainproject.com/route/113395841/bridalveil-falls
Granary Lake,"CENTRAL ONTARIO; Toronto Region and West of Hwy 11 to Sault Ste Marie; Bracebridge, Sudbury|Ontario Ice and Mixed|Ontario|North America|International",Canada,Ontario,46.28035,-82.84034,Breaking All the House Rules,https://www.mountainproject.com/route/114504163/breaking-all-the-house-rules
Diamond Lake (ICE),Madawaska Valley (ICE)|EAST ONTARIO: Ottawa to Toronto|Ontario Ice and Mixed|Ontario|North America|International,Canada,Ontario,45.3666,-77.54048,Malachite Brocade,https://www.mountainproject.com/route/113199561/malachite-brocade
Bow Lake (ICE),Madawaska Valley (ICE)|EAST ONTARIO: Ottawa to Toronto|Ontario Ice and Mixed|Ontario|North America|International,Canada,Ontario,45.01124,-77.94098,Right Ramp,https://www.mountainproject.com/route/113205009/right-ramp
Granary Lake,"CENTRAL ONTARIO; Toronto Region and West of Hwy 11 to Sault Ste Marie; Bracebridge, Sudbury|Ontario Ice and Mixed|Ontario|North America|International",Canada,Ontario,46.28035,-82.84034,…Waive the Rules,https://www.mountainproject.com/route/114504168/waive-the-rules
Diamond Lake (ICE),Madawaska Valley (ICE)|EAST ONTARIO: Ottawa to Toronto|Ontario Ice and Mixed|Ontario|North America|International,Canada,Ontario,45.3666,-77.54048,Blue Velvet,https://www.mountainproject.com/route/113199580/blue-velvet
Hidden Gems (ICE),Madawaska Valley (ICE)|EAST ONTARIO: Ottawa to Toronto|Ontario Ice and Mixed|Ontario|North America|International,Canada,Ontario,45.07689,-78.03409,Onyx,https://www.mountainproject.com/route/113399962/onyx
